scraped_date,publish_date,title,company,location,contract_type,education_level,experience_level,key_skills,sector,offer_url,source,min_exp,max_exp,min_education,education_rank,latitude,longitude,coordinates
2026-05-08,2026-03-11,Assistant Boutique Polyvalent,GLOBAL TALENT LTD.,Dakar,CDD,"Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,"Développement Commercial, Prospection, Prospection Commerciale, Vente","Éducation, formation",https://www.emploisenegal.com/offre-emploi-senegal/assistant-boutique-polyvalent-hf-dakar-1535153,EmploiSénégal,0,2,Bac,1,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-03-30,Technico-Commercial,TENEZIS,Dakar,CDI,"Bac+2, Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé & Débutant < 2 ans","Communication, IOT, Marchés Publics, Marketing, Vente","Electricité, eau, gaz, nucléaire, énergie",https://www.emploisenegal.com/offre-emploi-senegal/technico-commercial-hf-dakar-1542911,EmploiSénégal,0,2,Bac+2,3,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-03-18,Sales Manager,"ZETATECH HONG KONG INVESTMENT CO., LTD",Dakar,CDD,"Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,"Communication, Marketing, Vente","Electricité, eau, gaz, nucléaire, énergie",https://www.emploisenegal.com/offre-emploi-senegal/sales-manager-dakar-1538907,EmploiSénégal,2,5,Bac,1,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-04-28,Responsable Marketing Et Commercial,REGARD GLOBAL SERVICES,Dakar,CDD,"Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,"Actions Commerciales, Actions Marketing, Commercialisation, Communication, Marketing, Négociation, Vente","Environnement, recyclage",https://www.emploisenegal.com/offre-emploi-senegal/responsable-marketing-commercial-hf-dakar-1564839,EmploiSénégal,0,2,Bac,1,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-03-26,Commercial,WEBTEL,Dakar,CDI,"Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,"CRM, Vente","Environnement, recyclage",https://www.emploisenegal.com/offre-emploi-senegal/commerciale-services-nettoyage-industriel-hf-dakar-1544527,EmploiSénégal,0,2,Bac,1,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-03-18,Commerciale,DIGENTA SMART,Dakar,Stage,"Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,"Actions Commerciales, Communication, Marketing, Prospection, Prospection Commerciale, Vente","Equip. électriques, électroniques, optiques, précision",https://www.emploisenegal.com/offre-emploi-senegal/commerciale-prospection-domotique-dakar-1540315,EmploiSénégal,2,5,Bac+2,3,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-03-18,Apporteur D’Affaires Indépendant,DIGENTA SMART,Dakar,Freelance,"Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,"Négociation, Vente","Equip. électriques, électroniques, optiques, précision",https://www.emploisenegal.com/offre-emploi-senegal/apporteur-affaires-independant-hf-dakar-1540291,EmploiSénégal,0,2,Bac,1,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-04-29,Standardiste-Acceuil,YESHI GROUP,Dakar,CDI,"Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,"Actions Commerciales, Vente","Equipements mécaniques, machines",https://www.emploisenegal.com/offre-emploi-senegal/standardiste-acceuil-dakar-1560808,EmploiSénégal,2,5,Bac+2,3,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-03-12,Opérateur Machine,TRANSPAPS,Dakar,CDD,Bac+3,Expérience entre 2 ans et 5 ans,"Informatique Industrielle, Machines, Maintenance, Production, Qualité","Equipements mécaniques, machines",https://www.emploisenegal.com/offre-emploi-senegal/operateur-machine-diamniadio-1536876,EmploiSénégal,2,5,Bac+3,4,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-03-30,Scieur(Se) / Déligneur(Se),SCIES TECHNIQUES BRETAGNE,Étranger,CDI,"Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus","Industrie, Machines, Maintenance, Menuiserie, Production, Qualité, Sciage","Espaces verts, forêts, chasse",https://www.emploisenegal.com/offre-emploi-senegal/scieurse-deligneurse-france-bretagne-1547037,EmploiSénégal,0,1,Avant Bac,0,0.0,0.0,"[0, 0]"
2026-05-08,2026-04-15,Comptable Senior,NEXGEN TALENT,Dakar,CDI,"Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 5 ans et 10 ans & Expérience > 10 ans,"Comptabilité, Comptabilité Générale, États Financiers, Finance, Fiscalité, Flux Financiers, Gestion, Suivi Administratif, Suivi de la Trésorerie, Trésorerie","Hôtellerie, restauration",https://www.emploisenegal.com/offre-emploi-senegal/comptable-senior-hf-dakar-1557239,EmploiSénégal,5,10,Bac+3,4,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-04-13,Cuisinière,TON UNIVERS,Dakar,CDD,"Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,Tourisme,"Hôtellerie, restauration",https://www.emploisenegal.com/offre-emploi-senegal/cuisiniere-dakar-1554982,EmploiSénégal,2,5,Bac,1,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-04-07,Chef Pâtissier,KANEL PATISSERIE,Dakar,CDI,"Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,"Communication, Pâtisserie, Tourisme","Hôtellerie, restauration",https://www.emploisenegal.com/offre-emploi-senegal/chef-patissier-entre-sgbs-diaristo-573-sicap-baobab-1551847,EmploiSénégal,2,5,Bac+2,3,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-03-18,Chargé De Développement Terrain,KOMEAT,Dakar,Freelance,Bac,"Etudiant, jeune diplômé & Débutant < 2 ans","Gestion de la Force de Vente, Restauration, Tourisme, Vente","Hôtellerie, restauration",https://www.emploisenegal.com/offre-emploi-senegal/chargee-developpement-terrain-restauration-dakar-1539208,EmploiSénégal,0,2,Bac,1,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-05-06,Analyste Comptable Groupe,"RH SOLUTIONS ""SARL""",Dakar,CDI,"Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,"Audit, Budgétisation, Comptabilité, Comptabilité Générale, Finance, Fiscalité, Gestion, Gestion des Coûts, IFRS, Trésorerie","Immobilier, architecture, urbanisme",https://www.emploisenegal.com/offre-emploi-senegal/analyste-comptable-groupe-dakar-1569123,EmploiSénégal,2,5,Bac+3,4,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-03-17,Assistante Commerciale,LES RESIDENCES KALIA,Dakar,Stage,"Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,"Communication, Négociation, Techniques de Vente, Vente","Immobilier, architecture, urbanisme",https://www.emploisenegal.com/offre-emploi-senegal/assistante-commerciale-dakar-1538520,EmploiSénégal,0,2,Bac+3,4,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-04-01,Assistante En Pharmacie,PHARMACIE THILO,Diourbel,CDD,Bac+4 & Bac+5 et plus,"Etudiant, jeune diplômé et plus","Assistanat, Dossiers, Facturation, Gestion Administrative, Gestion des Dossiers, Santé, Santé Publique, Secrétariat",Industrie pharmaceutique,https://www.emploisenegal.com/offre-emploi-senegal/assistante-pharmacie-touba-1205066,EmploiSénégal,0,1,Bac+4,5,14.65,-16.2333,"[14.65, -16.2333]"
2026-05-08,2026-05-06,Business Developer B2B,GRAVUPUB,Dakar,CDI,"Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans & Expérience entre 5 ans et 10 ans,"CRM, Développement Commercial, Gestion de la Force de Vente, Gestion des Ventes, Négociation, Prospection, Prospection Terrain, Vente","Industrie, production, fabrication, autres",https://www.emploisenegal.com/offre-emploi-senegal/business-developer-b2b-dakar-1570854,EmploiSénégal,2,5,Bac+3,4,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-04-13,Commercial Terrain,ID SUARL SÉNÉGAL,Dakar,Alternance,Qualification avant bac,Débutant < 2 ans,"Communication, Marketing, Négociation, Vente","Industrie, production, fabrication, autres",https://www.emploisenegal.com/offre-emploi-senegal/commercial-terrain-dakar-1554400,EmploiSénégal,0,2,Avant Bac,0,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-03-30,Dessinateur Bureau Étude Industriel,SCIES TECHNIQUES BRETAGNE,Étranger,CDI,"Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,"Affûtage, Fabrication, Machines, Maintenance, Maintenance de Matériel, Montage, Productivité, Produit Industriel, Qualité, Sciage, SOLIDWORKS","Industrie, production, fabrication, autres",https://www.emploisenegal.com/offre-emploi-senegal/dessinateur-bureau-etude-industriel-france-saint-aubin-cormier-1546894,EmploiSénégal,2,5,Bac+2,3,0.0,0.0,"[0, 0]"
2026-05-08,2026-03-13,Commerciale Terrain B2B,SENEGAL BUSINESS BOOSTERS,Dakar,CDD,"Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,"Actions Commerciales, Négociation, Prospection, Prospection Commerciale, Vente","Industrie, production, fabrication, autres",https://www.emploisenegal.com/offre-emploi-senegal/commerciale-terrain-b2b-dakar-1489750,EmploiSénégal,2,5,Bac+3,4,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-03-12,Agent Contrôle Qualité,TRANSPAPS,Dakar,CDD,"Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,"Hygiène, Maintenance, Management de la Qualité, Qualité","Industrie, production, fabrication, autres",https://www.emploisenegal.com/offre-emploi-senegal/agent-controle-qualite-dakar-1536900,EmploiSénégal,2,5,Bac+3,4,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-05-04,Développeur Web (Wordpress / Html / Css),MAGGYFAST SARL,Dakar,Temps partiel,"Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,"CSS, HTML, WORDPRESS","Informatique, SSII, Internet",https://www.emploisenegal.com/offre-emploi-senegal/developpeur-web-wordpress-html-css-dakar-1555156,EmploiSénégal,2,5,Bac+1,2,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-04-27,Travail À Distance,VOICE DATA AI,Étranger,CDD,"Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus",N/A,"Informatique, SSII, Internet",https://www.emploisenegal.com/offre-emploi-senegal/travail-distance-enregistrements-audio-sans-experience-international-1564291,EmploiSénégal,0,1,Avant Bac,0,0.0,0.0,"[0, 0]"
2026-05-08,2026-04-20,Technico-Commercial Terrain Junior F/H,SHYNEA,Dakar,CDD,"Qualification avant bac, Bac, Bac+1, Bac+2 & Bac+3","Etudiant, jeune diplômé & Débutant < 2 ans",Vente,"Informatique, SSII, Internet",https://www.emploisenegal.com/offre-emploi-senegal/technico-commercial-terrain-junior-fh-dakar-1559696,EmploiSénégal,0,2,Avant Bac,0,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-04-20,Développeur Fullstack,FABEXS,Étranger,Freelance,Bac+5 et plus,Expérience entre 5 ans et 10 ans & Expérience > 10 ans,"API, DJANGO, GITLAB, PYTHON, REACT","Informatique, SSII, Internet",https://www.emploisenegal.com/offre-emploi-senegal/developpeur-fullstack-remote-1560129,EmploiSénégal,5,10,Bac+5,6,0.0,0.0,"[0, 0]"
2026-05-08,2026-04-15,Sales Development Representative (Sdr),PALMA TALENTS,Étranger,CDD,"Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,"Communication, Marketing, Vente","Informatique, SSII, Internet",https://www.emploisenegal.com/offre-emploi-senegal/sales-development-representative-sdr-teletravail-1556601,EmploiSénégal,2,5,Bac+3,4,0.0,0.0,"[0, 0]"
